dragon_knight_breathe_fire | [s] None => 3565 | [h] None => a472e97788 | 2023-11-16 13:28:37 (UTC+3)
dragon_knight_dragon_blood | [s] None => 2355 | [h] None => bfdf0275c5 | 2023-11-16 13:28:37 (UTC+3)
dragon_knight_dragon_tail | [s] None => 2797 | [h] None => da51b7c98b | 2023-11-16 13:28:37 (UTC+3)
dragon_knight_elder_dragon_form | [s] None => 5346 | [h] None => d08031b4cf | 2023-11-16 13:28:37 (UTC+3)
dragon_knight_fireball | [s] None => 3011 | [h] None => 631f342017 | 2023-11-16 13:28:37 (UTC+3)
dragon_knight_frost_breath | [s] None => 2277 | [h] None => a99f62a7af | 2023-11-16 13:28:37 (UTC+3)
drow_ranger_frost_arrows | [s] None => 4124 | [h] None => 91a40a7ac0 | 2023-11-16 13:28:37 (UTC+3)
drow_ranger_glacier | [s] None => 4474 | [h] None => 5c854614c5 | 2023-11-16 13:28:37 (UTC+3)
drow_ranger_marksmanship | [s] None => 3925 | [h] None => 0537f156a7 | 2023-11-16 13:28:37 (UTC+3)
drow_ranger_multishot | [s] None => 3930 | [h] None => ce5c936f2f | 2023-11-16 13:28:37 (UTC+3)
drow_ranger_silence | [s] None => 2280 | [h] None => 003731be4a | 2023-11-16 13:28:37 (UTC+3)
drow_ranger_trueshot | [s] None => 2463 | [h] None => fdc1292c78 | 2023-11-16 13:28:37 (UTC+3)
drow_ranger_wave_of_silence | [s] None => 4048 | [h] None => 2946261e2f | 2023-11-16 13:28:37 (UTC+3)
earthshaker_aftershock | [s] None => 2426 | [h] None => 9e37071b71 | 2023-11-16 13:28:37 (UTC+3)
earthshaker_echo_slam | [s] None => 2901 | [h] None => 7439a68592 | 2023-11-16 13:28:37 (UTC+3)
earthshaker_enchant_totem | [s] None => 4435 | [h] None => a11df4121e | 2023-11-16 13:28:37 (UTC+3)
earthshaker_fissure | [s] None => 3717 | [h] None => 359a51ee13 | 2023-11-16 13:28:37 (UTC+3)
enchantress_bunny_hop | [s] None => 2755 | [h] None => 57bb1220ef | 2023-11-16 13:28:37 (UTC+3)
enchantress_enchant | [s] None => 3809 | [h] None => 39ca63194a | 2023-11-16 13:28:37 (UTC+3)
enchantress_impetus | [s] None => 2888 | [h] None => 465cc5c8b6 | 2023-11-16 13:28:37 (UTC+3)
enchantress_little_friends | [s] None => 3093 | [h] None => 2adcb932af | 2023-11-16 13:28:37 (UTC+3)
enchantress_natures_attendants | [s] None => 3028 | [h] None => 7c1b1ee91b | 2023-11-16 13:28:37 (UTC+3)
enchantress_untouchable | [s] None => 2496 | [h] None => 1886b88717 | 2023-11-16 13:28:37 (UTC+3)
enigma_black_hole | [s] None => 4118 | [h] None => 51eaf04fd4 | 2023-11-16 13:28:37 (UTC+3)
enigma_demonic_conversion | [s] None => 4992 | [h] None => 424c3d8225 | 2023-11-16 13:28:37 (UTC+3)
enigma_malefice | [s] None => 3198 | [h] None => 02b0fa801f | 2023-11-16 13:28:37 (UTC+3)
enigma_midnight_pulse | [s] None => 2854 | [h] None => f8df11d706 | 2023-11-16 13:28:37 (UTC+3)
enraged_wildkin_hurricane | [s] None => 2207 | [h] None => ee629d4198 | 2023-11-16 13:28:37 (UTC+3)
enraged_wildkin_tornado | [s] None => 2558 | [h] None => 994ecfce57 | 2023-11-16 13:28:37 (UTC+3)
enraged_wildkin_toughness_aura | [s] None => 2249 | [h] None => 03febdadf0 | 2023-11-16 13:28:37 (UTC+3)
faceless_void_backtrack | [s] None => 2005 | [h] None => 5c99431628 | 2023-11-16 13:28:37 (UTC+3)
faceless_void_chronosphere | [s] None => 3017 | [h] None => e23da79542 | 2023-11-16 13:28:37 (UTC+3)
faceless_void_time_dilation | [s] None => 3364 | [h] None => 9933871ac7 | 2023-11-16 13:28:37 (UTC+3)
faceless_void_time_lock | [s] None => 2725 | [h] None => a7b011257d | 2023-11-16 13:28:37 (UTC+3)
faceless_void_time_walk | [s] None => 2961 | [h] None => 8b4b43c6b4 | 2023-11-16 13:28:37 (UTC+3)
faceless_void_time_walk_reverse | [s] None => 2340 | [h] None => 9647fe9c80 | 2023-11-16 13:28:37 (UTC+3)
fel_beast_haunt | [s] None => 2178 | [h] None => bf5588bea2 | 2023-11-16 13:28:37 (UTC+3)
filler_ability | [s] None => 3646 | [h] None => 4b8d70ba2f | 2023-11-16 13:28:37 (UTC+3)
flagbearer_creep_aura_effect | [s] None => 2372 | [h] None => 87cbb9387d | 2023-11-16 13:28:37 (UTC+3)
forest_troll_high_priest_heal | [s] None => 2152 | [h] None => 00d5109b20 | 2023-11-16 13:28:37 (UTC+3)
forest_troll_high_priest_heal_amp_aura | [s] None => 2226 | [h] None => a2f01211cb | 2023-11-16 13:28:37 (UTC+3)
forest_troll_high_priest_mana_aura | [s] None => 2340 | [h] None => 2152a8f004 | 2023-11-16 13:28:37 (UTC+3)
forged_spirit_melting_strike | [s] None => 2457 | [h] None => 020781283a | 2023-11-16 13:28:37 (UTC+3)
frostbitten_golem_time_warp_aura | [s] None => 2295 | [h] None => 72db3ef2e2 | 2023-11-16 13:28:37 (UTC+3)
frostivus2018_decorate_tree | [s] None => 2604 | [h] None => 40f9e9d51c | 2023-11-16 13:28:37 (UTC+3)
